muni,Muni Zoned %_single_family,TRACT CODE,Cleaned Tract Code,Block Group of parcel_data_aggregated_by_block_group,N,percent_sf_residences,EJ,EJ_pop,Ej Crit De,recoded_ej_criteria,CITY
Boston,0,101,101,1,173,19.6,Yes,EJ Population,Minority,Minority,Boston
Boston,0,101,101,2,148,22.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,102,102,1,140,22.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,102,102,2,248,19.2,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,1,215,46.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,2,159,17.2,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,3,210,29.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,4,128,10.1,Yes,EJ Population,Minority,Minority,Boston
Boston,0,202,202,1,152,28.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,202,202,2,178,36.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,202,202,3,313,36.1,Yes,EJ Population,Minority,Minority,Boston
Boston,0,301,301,1,155,59.6,Yes,EJ Population,Minority,Minority,Boston
Boston,0,301,301,1,155,59.6,Yes,EJ Population,Minority,Minority,Watertown
,,301,301,2,147,36.2,No,Not an EJ Population,,N/A,Boston
,,301,301,3,116,14.3,No,Not an EJ Population,,N/A,Boston
Boston,0,301,301,4,93,27.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,302,302,1,320,36.1,Yes,EJ Population,Minority,Minority,Boston
Boston,0,302,302,2,210,63.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,1,46,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,2,118,9.2,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,3,180,21.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,3,180,21.0,Yes,EJ Population,Minority,Minority,Brookline
Boston,0,401,401,4,145,27.7,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,402,402,1,190,30.7,Yes,EJ Population,Minority,Minority,Boston
Boston,0,402,402,2,164,20.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,402,402,3,195,39.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,502,502,1,44,5.6,Yes,EJ Population,Minority,Minority,Boston
Boston,0,502,502,2,23,29.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,502,502,3,52,5.6,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,503,503,1,27,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,503,503,2,38,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,505,505,1,31,5.3,Yes,EJ Population,Minority,Minority,Boston
Boston,0,505,505,2,29,8.7,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,505,505,3,33,8.3,Yes,EJ Population,Minority,Minority,Boston
Boston,0,506,506,1,64,15.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,506,506,2,100,11.9,Yes,EJ Population,Minority,Minority,Boston
Boston,0,506,506,2,100,11.9,Yes,EJ Population,Minority,Minority,Brookline
,,600,600,1,1,100.0,No,Not an EJ Population,,N/A,Maynard
Boston,0,601,601,1,110,56.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,601,601,1,110,56.8,Yes,EJ Population,Minority,Minority,Watertown
Boston,0,601,601,2,181,34.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,601,601,3,153,23.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,601,601,4,93,22.7,Yes,EJ Population,Minority,Minority,Boston
Boston,0,603,603,1,34,11.1,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,604,604,1,136,37.2,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,604,604,2,64,9.8,Yes,EJ Population,Minority and English isolation,Minority and English isolation,Boston
Boston,0,701,701,1,25,9.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,701,701,2,63,12.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,701,701,3,61,18.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,701,701,4,65,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,703,703,1,39,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,703,703,1,39,0.0,Yes,EJ Population,Minority and income,Minority and income,Brookline
Boston,0,703,703,2,104,14.3,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,704,704,1,112,4.8,Yes,EJ Population,Minority,Minority,Boston
Boston,0,704,704,2,50,12.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,704,704,2,50,12.5,Yes,EJ Population,Minority,Minority,Brookline
Boston,0,704,704,3,27,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,704,704,4,32,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,804,804,1,251,31.9,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,804,804,2,327,30.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,805,805,1,164,25.2,Yes,EJ Population,Minority,Minority,Boston
Boston,0,805,805,2,93,12.2,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,805,805,2,93,12.2,Yes,EJ Population,Minority and income,Minority and income,Brookline
Boston,0,805,805,3,45,4.8,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,806,806,1,14,63.6,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10104,10104,1,79,6.9,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10104,10104,2,24,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10104,10104,3,54,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10204,10204,1,42,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10204,10204,2,73,26.1,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10204,10204,3,46,16.7,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10205,10205,1,29,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10205,10205,2,24,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10205,10205,3,8,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10205,10205,4,20,0.0,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,10206,10206,1,33,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10206,10206,2,21,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10300,10300,1,38,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10300,10300,2,35,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10300,10300,2,35,0.0,Yes,EJ Population,Minority,Minority,Cambridge
Boston,0,10403,10403,1,30,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10403,10403,2,35,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10403,10403,3,18,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10404,10404,1,40,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10404,10404,2,15,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10404,10404,3,46,4.2,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10404,10404,4,64,33.3,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10405,10405,1,15,0.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10405,10405,2,45,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10405,10405,3,16,0.0,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,10408,10408,1,36,4.3,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10500,10500,1,82,0.0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10500,10500,2,43,23.5,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,10500,10500,3,88,38.0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10600,10600,1,60,19.4,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10600,10600,2,23,0.0,Yes,EJ Population,Minority,Minority,Boston
